Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
8128,24.0,18.127025128588585,0.0,0.0,0.0,0.0,6.0,20.670410307644605,6.0,13.143770947884947,3.0,9.838000918213421,9.0,94.42870632672333,0.0,0.0
8135,26.0,19.581704662705135,1.0,15.74555188159345,1.0,8.042464211034261,2.0,6.6082934082273255,5.0,10.974539069359087,7.0,24.682651622002822,10.0,101.96798205363515,0.0,0.0
8136,38.0,12.10094737680121,0.0,0.0,0.0,0.0,4.0,5.388076187397289,12.0,11.015541092558085,11.0,16.59075141021387,11.0,53.65330211686665,0.0,0.0
8211,10.0,18.12086617740328,1.0,42.973785990545764,0.0,0.0,0.0,0.0,2.0,10.549079592805528,1.0,7.512019230769231,6.0,122.39902080783354,,
8212,81.0,25.95654681791963,4.0,29.62743500481446,1.0,4.157831275206852,13.0,13.512108928385823,16.0,15.505678954917238,23.0,41.081698996177614,24.0,125.49675800041832,0.0,0.0
8215,101.0,22.691479012628594,4.0,19.226147560682527,3.0,7.367748907117245,12.0,12.240276630251843,31.0,19.412855067381393,26.0,26.99223454175491,25.0,84.66253513495208,0.0,0.0
8216,67.0,28.951689568749458,0.0,0.0,0.0,0.0,8.0,15.888462989811524,26.0,31.55646179240703,16.0,31.18665211289568,17.0,105.74769843244589,0.0,0.0
8221,31.0,19.196829426881752,1.0,13.070186903672722,0.0,0.0,4.0,7.08842814105972,3.0,5.942594536774756,16.0,61.31677780332644,7.0,81.46165483533109,0.0,0.0
8222,56.0,18.026253951290485,1.0,6.663113006396588,0.0,0.0,6.0,6.630200563567048,11.0,10.470606152908925,20.0,35.351303579319485,18.0,99.19541496748595,0.0,0.0
8225,20.0,13.924376710087515,0.0,0.0,0.0,0.0,5.0,15.716845314808412,2.0,3.977882970683002,8.0,24.536114092930532,5.0,51.56233886769104,0.0,0.0
8226,90.0,16.41272533304155,2.0,7.551729346020239,1.0,1.9714922224631821,12.0,10.048904669391037,20.0,10.246636541555235,28.0,23.28617882122036,27.0,74.37401867614247,0.0,0.0
8231,26.0,20.641965115078957,4.0,57.81182251770487,0.0,0.0,0.0,0.0,6.0,14.553922282055014,7.0,28.74625272062749,9.0,104.35992578849722,0.0,0.0
8235,36.0,22.612923285657754,3.0,39.037085230969424,1.0,6.720430107526882,8.0,22.358859698155396,8.0,14.277810497760168,8.0,23.4240037478406,8.0,74.96251874062969,0.0,0.0
8236,52.0,26.05784842350017,4.0,40.941658137154555,1.0,5.454644629902361,3.0,6.84994063384784,15.0,21.111001646658128,15.0,34.78744868851319,14.0,103.81905821282906,0.0,0.0
8237,14.0,11.840024356621534,2.0,35.61253561253561,2.0,18.22821728034998,1.0,3.710299792223211,2.0,4.806998990530212,5.0,19.890997334606357,2.0,25.12562814070352,0.0,0.0
8311,34.0,14.706200393607128,0.0,0.0,2.0,10.29707048344746,12.0,15.819030293443012,11.0,14.993729894771278,3.0,7.741136398823348,6.0,49.115913555992144,0.0,0.0
8315,49.0,18.588700346356806,0.0,0.0,1.0,4.00320256204964,3.0,5.199036445245481,8.0,8.757238404869025,16.0,27.31540759709774,21.0,116.88094840540992,0.0,0.0
8316,29.0,17.42704677659728,1.0,12.140342357654486,0.0,0.0,3.0,8.256047554833916,7.0,11.886568177958907,7.0,19.162856908209914,11.0,102.38272524199553,0.0,0.0
8317,58.0,13.458544203196173,1.0,4.704775346977182,0.0,0.0,4.0,4.083174259669467,11.0,7.342683016374183,24.0,26.08270390697169,18.0,61.282854419174726,0.0,0.0
8325,17.0,12.153448004689801,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.374450883742034,7.0,23.497818059751594,4.0,41.919932928107315,0.0,0.0
8326,68.0,31.999096496098932,3.0,28.957528957528957,0.0,0.0,9.0,18.329938900203665,15.0,21.07126301150491,23.0,49.3054364602984,18.0,113.55750425840641,0.0,0.0
8327,39.0,27.705553897958314,2.0,26.972353337828725,0.0,0.0,6.0,17.755681818181817,15.0,31.06104530771142,12.0,42.998423391142325,4.0,43.78762999452655,0.0,0.0
8335,41.0,14.32039258832364,1.0,7.34807847747814,1.0,3.9292730844793713,6.0,8.268221092232006,16.0,16.67187662811295,14.0,23.63547346918103,3.0,15.403573629081947,0.0,0.0
8336,47.0,20.54770565193061,2.0,17.51773670841727,0.0,0.0,3.0,5.878433985186346,9.0,11.075559931085404,16.0,33.538055212023394,17.0,112.27050587769119,0.0,0.0
8337,36.0,21.052262241013317,2.0,23.88630120625821,0.0,0.0,4.0,10.50089257586895,6.0,10.194892358928177,7.0,18.75770405702342,17.0,147.72332290580465,0.0,0.0
